id,title,organization,url,contact,internality,needs,inventionTypes,locations,domains,states,problemsSolved,whatYouGet,whyYouMightCare,usefulWhen,notFor,eligibility,caveats,investigatorReturns,funding,status,nextDeadline,companyRequired,requiresDisclosure,contextGate,modalityLock
otm-core,"OTM — invention disclosure, evaluation, IP and licensing","Office of Technology Management, WashU",https://otm.wustl.edu/disclose-inventions/licensing-process/,otm@wustl.edu · 314-747-1700,washu,ip-licensing|expertise-mentorship,broad,washu,therapeutic|device|diagnostic|software|research-tool,s3|s4|s5|s6|s7|s8,ip|disclosure|license|transfer,"Disclosure intake, evaluation, patent/IP strategy, marketing, licensing, and commercialization support. The disclosure asks for an invention description, creators, funding, and related information.","Lets you understand transfer options without deciding to become an entrepreneur. OTM evaluates WashU inventions, handles patent strategy, and files when warranted — a conversation before a talk or paper is how that process starts.","Something developed in the lab may have utility outside it|You want to preserve transfer or commercialization options|You are choosing among protect, license, distribute, or open-release",need this as a required first step for every research idea|treat this as a substitute for deciding what success looks like to you,WashU inventions; assignment and contact depend on academic unit. OTM’s department lookup includes neuroscience-related units.,"OTM evaluates WashU inventions and, when warranted, files and manages the patents.|A startup is not required.",clarity on transfer options|possible protection before public disclosure|a path to licensing without founding,,evergreen,,false,false,,
otm-inventor-companion,AI companion for new inventions,"Neurotech Hub · Department of Neuroscience, WashU",https://neurotechhub.wustl.edu/an-ai-companion-for-new-inventions/,otm@wustl.edu · Neurotech Hub,washu,ip-licensing,broad,washu,therapeutic|device|diagnostic|software|research-tool,s3|s4|s5,disclosure|ip|transfer|clarity,"A short, structured AI interview (about 10 minutes) that produces a companion brief you can attach when filing an invention disclosure in InnovateIP. The preferred agent file includes interview instructions plus a periodically refreshed snapshot of public OTM pages.","Helps you clarify claims, novelty, evidence, and how the invention advances your professional goals before or while you talk with OTM — without replacing InnovateIP or OTM’s assessment.",You are preparing an invention disclosure or exploring whether to disclose|You want a clearer story for an OTM case manager|You have a nascent idea and want structured feedback before filing,"treat this as a substitute for filing in InnovateIP|use a consumer AI chat that may store or train on unpublished inventions|treat the brief as legal advice, a patent search, or OTM’s formal evaluation",Any WashU inventor preparing disclosure context. Use only a WashU-supported AI tool approved for institutional use with confidentiality controls for unpublished inventions.,Alpha tool from the Neurotech Hub — not an official WashU or OTM product; workflows may change.|Use only an institutionally approved AI tool. Consumer ChatGPT and similar tools can create a public-disclosure risk.|The official record remains the InnovateIP disclosure; attach the brief as a companion document.,a short companion brief for OTM|clearer invention story before disclosure|preliminary landscape and goal-routing context,,evergreen,,false,false,,
jroc,Joint Research Office for Contracts (JROC),Washington University in St. Louis,https://research.washu.edu/offices/jroc/,researchcontracts@wusm.wustl.edu · 314-747-5393,washu,expertise-mentorship,broad,washu,therapeutic|device|diagnostic|software|research-tool|clinical-workflow,s4|s5|s6|s7|s8,industry-sponsored-research|research-contracts|clinical-trial-agreements|data-transfer|collaboration-agreements,"University-wide drafting, review, negotiation, and signature of research-related agreements, including industry-supported research agreements, industry-supported clinical trials, data transfers, service agreements, collaborations, and federal/foundation contracts and subawards.","Industry collaboration is a distinct path from licensing or founding. If an outside organization wants to fund, collaborate on, test, or exchange data around the work, JROC is often the contract path that makes that relationship executable.","A company or outside collaborator wants to sponsor research rather than license the invention|You need a clinical-trial, collaboration, service, data-use, or sponsored-research agreement|The scientific partnership is clear but the institutional agreement is not",Patent prosecution or licensing university IP (see OTM)|Finding an industry partner from scratch,"WashU research agreements. JROC serves principal investigators, administrators, and sponsors university-wide; the required intake path depends on agreement type.",JROC executes research-related agreements; OTM handles patent licensing and many material-transfer/IP matters.|This is not an industry matchmaking program.,an executable sponsored-research or collaboration agreement|a compliant path for industry-funded studies and data exchange|industry collaboration without requiring a startup or license,,evergreen,,false,false,industry-collaboration|industry-sponsored-research,
neurotech-hub,Neurotech Hub,Washington University in St. Louis,https://neurotechhub.wustl.edu/,,washu,build-test|expertise-mentorship,devices-diagnostics|software-digital|research-tools,washu,device|software|research-tool|algorithm,s0|s1|s2|s3,prototype|engineering|technical-development,On-demand technical services and development of new technical paradigms and tools for neuroscience.,"Turns a technical problem into research capability, preliminary data, prototypes, and potentially protectable inventions — before you need a commercial plan.","You have an experimental or technical problem, concept, or prototype|You need engineering help to make the first convincing test|You want a working tool for the lab, not a company",A substitute for clinical or regulatory strategy|Late-stage company financing,Neuroscience-oriented WashU resource. Precise project prioritization and service terms are locally managed where not publicly stated.,Bring a problem. You do not need a commercialization plan first.,prototypes and methods|preliminary data|trainee technical projects,,evergreen,,false,false,,
dep,Domain Expert Program (DEP),"Office of Technology Management, WashU",https://otm.wustl.edu/items/domain-expert-program-dep/,Start with OTM · otm@wustl.edu,washu,expertise-mentorship|industry-connections,broad,washu,device|diagnostic|software|research-tool|therapeutic,s3|s4|s5|s6,external-feedback|need-validation|de-risking,"Curated sector-specific industry and investor feedback, plus actionable recommendations about commercial potential and de-risking. OTM reports DEP panels have connected projects onward to resources including the Gap Fund.",Can prevent the lab from spending scarce research time on development milestones that outsiders do not value. You do not need to already know the market or have a startup team.,"The technology works scientifically, but you do not know what evidence industry would want next|You want external judgment without founding a company",use this for general business-plan tutoring (see Skandalaris Venture Development)|use this for founder coaching (see OTM New Ventures / EIR),OTM-mediated selection and referral. Complete researcher-facing public eligibility criteria are unspecified.,"Start with OTM. Access is mediated, not a walk-in clinic.",external validation of need|a shorter de-risking list|possible onward path to Gap Fund,,evergreen,,false,true,,
gap-fund,Washington University Gap Fund,"Office of Technology Management, WashU",https://otm.wustl.edu/disclose-inventions/gap-fund/,OTM · otm@wustl.edu,washu,funding,devices-diagnostics|software-digital|research-tools,washu,device|diagnostic|software|research-tool,s6|s7,funding|de-risking|prototype,"Translational funding for promising non-drug WashU technologies. Current OTM information says commitments are made in blocks up to $55,000; technically no overall maximum is stated.",Pays for work conventional academic grants may not prioritize but that can de-risk a technology. You do not need to start a company.,"A specific non-drug experiment, prototype, or milestone would increase transfer value|You have a WashU technology and a concrete de-risking experiment",Drug development / therapeutic candidates (see Needleman)|General unfocused research support,"WashU researcher with an appointment covered by the IP policy; non-drug technology; proof of feasibility demonstrated; technology disclosed to OTM and properly assigned to WashU; reasonable probability of adequate IP protection. Applications/consideration are available year-round, including ad hoc proposals.","This is not a drug-development program and does not fund startup-company expenses.|A single award commitment is up to $55,000; larger development plans may be staged through sequential awards.|The technology must already have proof of feasibility and be disclosed/assigned to WashU before an application.",funded development work|validation data|possible grant and publication leverage,"Commitments in blocks up to $55,000 (verify current terms)",evergreen_program_verify_current_call,,false,true,,
center-drug-discovery,Center for Drug Discovery (CDD),WashU Medicine · Center for Drug Discovery,https://cdd.wustl.edu/,Center for Drug Discovery · Ron Dolle / Maxene Ilagan,washu,build-test|funding,therapeutics,washu,therapeutic,s1|s2|s3|s6|s7,drug-discovery|high-throughput-screening|medicinal-chemistry|preclinical-development|funding,"An integrated small-molecule drug-discovery path from lead finding through lead optimization and preclinical studies. CDD capabilities include high-throughput and virtual screening, medicinal chemistry, ADME, pharmacokinetics/pharmacodynamics, in vivo pharmacology, and safety-oriented preclinical work. CDD also operates several pilot/matching funding mechanisms.",Fills the gap between a biologically interesting target and a credible therapeutic program. It can generate chemical matter and preclinical evidence before an IND-oriented program is mature enough for resources such as Needleman.,"A target or assay needs small-molecule hit finding or screening|A promising hit needs medicinal chemistry, ADME, PK/PD, or in vivo optimization|You need preliminary drug-discovery data for follow-on grants, partnering, publication, or IP",Non-therapeutic devices or software|A generic wet-lab core unrelated to small-molecule discovery|Assume every CDD funding program has the same eligibility or deadline,CDD services are directed at WashU drug-discovery projects. The CDD Pilot Grant and Match Grant programs state WashU faculty eligibility; the Siteman QuikSTART program additionally requires Assistant Professor-or-above status and Siteman Cancer Center membership. Verify the current funding mechanism before applying.,"Funding programs have different eligibility, cost-share, and cycle requirements.|QuikSTART is specifically for translating cancer disease biology into small-molecule therapeutics and requires Siteman membership.","screening hits and chemical starting points|medicinal-chemistry and preclinical data|preliminary data for grants, publications, partnering, and IP","CDD Pilot, Match Grant, QuikSTART and other CDD mechanisms; amounts and cycles vary. QuikSTART is $25,000 and cancer/small-molecule specific.",evergreen_program_verify_current_call,,false,false,,therapeutic
needleman-npic,Needleman Program (NPIC),"Needleman Program for Innovation & Commercialization, WashU",https://needlemanprogram.wustl.edu/services/,npic@wustl.edu,washu,funding|expertise-mentorship|build-test,therapeutics,washu,therapeutic,s5|s6|s7,therapeutic-development|funding|ind,Funding plus drug-discovery and development expertise and business mentoring. NPIC’s stated objective is to move promising therapeutic candidates toward FDA investigational-new-drug status.,Provides capabilities most academic labs are not organized to execute and can preserve the PI’s focus on science. A startup is not required.,"A promising WashU therapeutic candidate needs work beyond normal discovery science|The next question is developability toward IND, not another mechanistic paper",Generic non-therapeutic devices|Research tools or software without a therapeutic candidate|Very early small-molecule hit finding or lead optimization where the Center for Drug Discovery is the more natural first door,"During open windows, PIs from any WashU school or department may apply. The public page currently says applications are closed and a future RFP is planned.",Applications were closed as of 2026-09-04; treat this as a future milestone until a new RFP opens.,drug-development expertise|milestone-driven funding|path toward IND without founding,Program funding during open RFPs (verify current call),closed_verify,,false,false,,therapeutic
icts,ICTS Research Forum + CTRFP / Just-In-Time funding,"Institute of Clinical and Translational Sciences, WashU",https://icts.wustl.edu/research-services/research-development-program/research-forum-program/,icts@wustl.edu · JIT@wustl.edu,washu,funding|expertise-mentorship,broad,washu,therapeutic|device|diagnostic|clinical-workflow,s1|s2|s3|s4|s6|s7,study-design|funding|grants|translational-evidence,"Year-round multidisciplinary project-development or grant-review roundtables (design, aims, methods, statistics, milestones, stakeholders). CTRFP currently provides up to $50,000 direct costs for one-year clinical/translational or community-engaged projects and up to $25,000 for biostatistics/epidemiology/research-design projects. JIT provides rapid core-service support for preliminary data or certain QA/QI work.",Particularly valuable for turning a promising invention into rigorous translational evidence and competitive grants. No commercialization plan or company is required.,You have a translational concept or grant that needs study design and critique|Preliminary or core-services data are the immediate bottleneck,A company-formation program|Unrestricted laboratory operating support,"Research Forum is available to ICTS members across career stages and partner affiliations. CTRFP PI must be an ICTS member. As of 2026-09-04 the 2026 CTRFP LOI deadline had passed; invited full applications were due September 14, 2026. JIT has separate rolling processes and limits.",CTRFP is a competitive call with cycle-specific deadlines — verify current status.|Membership is required for CTRFP.,stronger aims and methods|preliminary data|grant competitiveness|collaborators,"CTRFP up to $50,000 / $25,000 by category; JIT core-service support",evergreen_program_verify_current_call,2026-09-14 (invited CTRFP applications; verify),false,false,,
center-clinical-studies,Center for Clinical Studies (CCS),Washington University in St. Louis,https://research.washu.edu/offices/center-for-clinical-studies/,ccs@wustl.edu · 314-747-4000,washu,build-test|expertise-mentorship,broad,washu,therapeutic|device|diagnostic|software|clinical-workflow,s6|s7|s8,clinical-study-operations|trial-startup|study-closeout,"Administrative and clinical research services spanning the clinical-study lifecycle, from initial proposal through study close-out. CCS is also the institutional home/partner for several specialized clinical-trial support services.","Once the next translational milestone requires a human study, the bottleneck is often execution rather than invention strategy. CCS is a practical door into study operations without requiring a company or license path.","A device, therapeutic, diagnostic, digital intervention, or workflow is moving into human research|You need help planning or executing the operational side of a clinical study|You are unsure which specialized clinical-study service should own the next problem",Patent or licensing strategy|General laboratory prototype engineering,"WashU clinical-research resource. Specific services, pricing, and project requirements depend on the study; contact CCS for routing.","This is clinical-research infrastructure, not product-development funding.|Specialized needs may route onward to Regulatory Support Center, Trial-CARE, recruitment, biostatistics, or other ICTS/CCS services.",a more executable clinical study|operational support from proposal through close-out|routing to specialized trial infrastructure,,evergreen,,false,false,,
